technology_name,segment,primary_energy_carrier,secondary_energy_carrier,saf_pathway,drop_in_fuel,maximum_secondary_energy_share,lifetime_years,payback_interest_rate,capex_eur,maintenance_cost_share,depreciation_cost_share,kilometer_per_kwh,trip_days_per_year,fuel_capacity_kwh,trip_length_km,economy_seats,business_seats,first_class_seats,mtow,oew,primary_energy_emission_factor,secondary_energy_emission_factor,hydrocarbon_factor,carbon_monoxide_factor,nitrogen_oxide_factor,smoke_number_factor,technology_family,service_entry_year,minimum_airport_class,technology_notes
kerosene_short,short,kerosene,none,none,0,0.0,25,0.08,43800000,0.06,0.12,0.34,320,850000,5500,189,0,0,79000,41413,0.2636,0.0,4.43,46.88,45.77,10.03,conventional,1995,C,"Current narrow-body benchmark Emission factors (HC/CO/NOx/smoke) replaced with real ICAO/EASA EDB certification data (Gaseous Emissions and Smoke sheet, 'Characteristic' columns), fleet-composition-weighted across this segment's real engine mix. primary_energy_emission_factor corrected to a real EU-ETS-derived value: 0.264 kg CO2/kWh (3.16 t CO2/t Jet A1 fuel, EU ETS 2024+ standard factor, divided by Jet A1's real net calorific value 43.15 MJ/kg = 11.986 kWh/kg) - was 0.890, ~3.4x too high, cross-validated against the scenario file's own kerosene/hydrogen eur_per_kwh prices which are consistent with this same raw-fuel-LHV-energy kWh convention. This feeds the real carbon/ETS cost charged in annual_operation_metrics, shared by both legacy_weighted_utility and ambiguity_aware_utility decision logics. lifetime_years set to the evidence-based recommended value: 25 years (narrow-body passenger aircraft, 25-30yr evidence range). Was 24 years."
drop_in_saf_short,short,kerosene,saf,hefa,1,0.5,25,0.08,43800000,0.06,0.12,0.34,320,850000,5500,189,0,0,79000,41413,0.2636,0.0533,4.43,46.88,45.77,10.03,drop_in_saf,2025,C,"CAPEX set to exactly 1.00x kerosene_short (airframe/engine-identical), per newly supplied evidence: 'existing turboprop/turbofan using certified drop-in SAF, all compatible passenger and cargo aircraft, 1.00x ordinary aircraft CAPEX - High confidence'. Replaces an earlier unfounded ~6% premium. Emission factors (HC/CO/NOx/smoke) replaced with real ICAO/EASA EDB certification data (Gaseous Emissions and Smoke sheet, 'Characteristic' columns), fleet-composition-weighted across this segment's real engine mix. primary_energy_emission_factor corrected to a real EU-ETS-derived value: 0.264 kg CO2/kWh (3.16 t CO2/t Jet A1 fuel, EU ETS 2024+ standard factor, divided by Jet A1's real net calorific value 43.15 MJ/kg = 11.986 kWh/kg) - was 0.890, ~3.4x too high, cross-validated against the scenario file's own kerosene/hydrogen eur_per_kwh prices which are consistent with this same raw-fuel-LHV-energy kWh convention. This feeds the real carbon/ETS cost charged in annual_operation_metrics, shared by both legacy_weighted_utility and ambiguity_aware_utility decision logics. lifetime_years set to the evidence-based recommended value: 25 years (narrow-body passenger aircraft, 25-30yr evidence range). Was 24 years."
hybrid_electric_short,short,electricity,battery,none,0,1.0,25,0.07,38000000,0.05,0.1,0.52,310,45000,400,30,0,0,12500,8200,0.05,0.0,0.42,2.34,7.63,0.65,hybrid_electric,2031,B,"Corrected to match Heart Aerospace ES-30 (the most credible real near-term hybrid-electric program, real airline orders already placed): 30 seats, 200km pure-electric / 800km hybrid range (400km used as a representative mission), real 2031 target entry into service. Was previously modeled at 180 seats (inherited from kerosene_short) with no real program at that scale. CAPEX NOT updated from either Electric-aircraft research pass: the closest real comparables found (Airbus E-Fan, Pipistrel Alpha Electro, Eviation Alice, a generic 2-9 seat 'regional electric' USD3-5M bracket, and a 19-passenger parallel/series hybrid commuter newbuild at EUR2.50-3.00M in 2027) are all materially smaller/lighter airframes than the 30-seat, CS-25-adjacent ES-30 this row represents; adopting any of them would imply an implausible cost far below existing conventional 30-40 seat turboprops. Remains an estimate and a documented research gap pending a real 30-seat-class data point. Emission factors re-anchored to the new real EDB-based kerosene_short base, keeping the existing (unconfirmed) ratio - no real EDB match exists for ES-30's small SAF-fuelled reserve turboprop; needed to avoid an HC-score inversion once the real-data thresholds were recalibrated. lifetime_years set to the evidence-based recommended value: 25 years (A10-A13 hybrid rule: use host airframe lifetime (30-seat regional-class aircraft, 25yr)). Was 22 years."
kerosene_medium,medium,kerosene,none,none,0,0.0,25,0.08,42800000,0.06,0.12,0.29,305,1160000,7000,220,12,0,93500,50000,0.2636,0.0,4.19,45.83,45.47,9.33,conventional,1998,C,"Current medium-haul benchmark Emission factors (HC/CO/NOx/smoke) replaced with real ICAO/EASA EDB certification data (Gaseous Emissions and Smoke sheet, 'Characteristic' columns), fleet-composition-weighted across this segment's real engine mix. primary_energy_emission_factor corrected to a real EU-ETS-derived value: 0.264 kg CO2/kWh (3.16 t CO2/t Jet A1 fuel, EU ETS 2024+ standard factor, divided by Jet A1's real net calorific value 43.15 MJ/kg = 11.986 kWh/kg) - was 0.890, ~3.4x too high, cross-validated against the scenario file's own kerosene/hydrogen eur_per_kwh prices which are consistent with this same raw-fuel-LHV-energy kWh convention. This feeds the real carbon/ETS cost charged in annual_operation_metrics, shared by both legacy_weighted_utility and ambiguity_aware_utility decision logics. lifetime_years set to the evidence-based recommended value: 25 years (narrow/wide-body passenger aircraft, 25-30yr evidence range). (unchanged)"
drop_in_saf_medium,medium,kerosene,saf,hefa,1,0.5,25,0.08,42800000,0.06,0.12,0.29,305,1160000,7000,220,12,0,93500,50000,0.2636,0.0533,4.19,45.83,45.47,9.33,drop_in_saf,2025,C,"CAPEX set to exactly 1.00x kerosene_medium (airframe/engine-identical), per newly supplied evidence: 'existing turboprop/turbofan using certified drop-in SAF, all compatible passenger and cargo aircraft, 1.00x ordinary aircraft CAPEX - High confidence'. Replaces an earlier unfounded ~6% premium. Emission factors (HC/CO/NOx/smoke) replaced with real ICAO/EASA EDB certification data (Gaseous Emissions and Smoke sheet, 'Characteristic' columns), fleet-composition-weighted across this segment's real engine mix. primary_energy_emission_factor corrected to a real EU-ETS-derived value: 0.264 kg CO2/kWh (3.16 t CO2/t Jet A1 fuel, EU ETS 2024+ standard factor, divided by Jet A1's real net calorific value 43.15 MJ/kg = 11.986 kWh/kg) - was 0.890, ~3.4x too high, cross-validated against the scenario file's own kerosene/hydrogen eur_per_kwh prices which are consistent with this same raw-fuel-LHV-energy kWh convention. This feeds the real carbon/ETS cost charged in annual_operation_metrics, shared by both legacy_weighted_utility and ambiguity_aware_utility decision logics. lifetime_years set to the evidence-based recommended value: 25 years (narrow/wide-body passenger aircraft, 25-30yr evidence range). (unchanged)"
kerosene_long,long,kerosene,none,none,0,0.0,25,0.09,124800000,0.07,0.13,0.21,290,2350000,14000,320,42,8,280000,142000,0.2636,0.0,2.65,27.39,55.61,8.89,conventional,2000,D,"Current long-haul benchmark Emission factors (HC/CO/NOx/smoke) replaced with real ICAO/EASA EDB certification data (Gaseous Emissions and Smoke sheet, 'Characteristic' columns), fleet-composition-weighted across this segment's real engine mix. primary_energy_emission_factor corrected to a real EU-ETS-derived value: 0.264 kg CO2/kWh (3.16 t CO2/t Jet A1 fuel, EU ETS 2024+ standard factor, divided by Jet A1's real net calorific value 43.15 MJ/kg = 11.986 kWh/kg) - was 0.890, ~3.4x too high, cross-validated against the scenario file's own kerosene/hydrogen eur_per_kwh prices which are consistent with this same raw-fuel-LHV-energy kWh convention. This feeds the real carbon/ETS cost charged in annual_operation_metrics, shared by both legacy_weighted_utility and ambiguity_aware_utility decision logics. lifetime_years set to the evidence-based recommended value: 25 years (wide-body passenger aircraft, 25-30yr evidence range). Was 26 years."
drop_in_saf_long,long,kerosene,saf,hefa,1,0.45,25,0.09,124800000,0.07,0.13,0.21,290,2350000,14000,320,42,8,280000,142000,0.2636,0.0533,2.65,27.39,55.61,8.89,drop_in_saf,2025,D,"CAPEX set to exactly 1.00x kerosene_long (airframe/engine-identical), per newly supplied evidence: 'existing turboprop/turbofan using certified drop-in SAF, all compatible passenger and cargo aircraft, 1.00x ordinary aircraft CAPEX - High confidence'. Replaces an earlier unfounded ~6% premium. Emission factors (HC/CO/NOx/smoke) replaced with real ICAO/EASA EDB certification data (Gaseous Emissions and Smoke sheet, 'Characteristic' columns), fleet-composition-weighted across this segment's real engine mix. primary_energy_emission_factor corrected to a real EU-ETS-derived value: 0.264 kg CO2/kWh (3.16 t CO2/t Jet A1 fuel, EU ETS 2024+ standard factor, divided by Jet A1's real net calorific value 43.15 MJ/kg = 11.986 kWh/kg) - was 0.890, ~3.4x too high, cross-validated against the scenario file's own kerosene/hydrogen eur_per_kwh prices which are consistent with this same raw-fuel-LHV-energy kWh convention. This feeds the real carbon/ETS cost charged in annual_operation_metrics, shared by both legacy_weighted_utility and ambiguity_aware_utility decision logics. lifetime_years set to the evidence-based recommended value: 25 years (wide-body passenger aircraft, 25-30yr evidence range). Was 26 years."
hydrogen_short,short,hydrogen,none,none,0,0.0,25,0.08,57300000,0.06,0.12,0.34,320,850000,3700,165,0,0,79000,41413,0.02,0.0,0.0,0.0,4.0,0.0,hydrogen,2035,C,"Moved from long-haul to short-haul: hydrogen's poor volumetric energy density makes long-haul the hardest real case, not the easiest (confirmed by the supplied research - no hydrogen option appears for wide-body/very-large aircraft at all). Real anchor: Airbus ZEROe turbofan concept, 120-200 seats, 2,000+ nm range, real 2035 target service entry. Caveat: Airbus itself narrowed focus to the fuel-cell-powered ZEROe variant specifically in 2025, a real signal of even greater timeline uncertainty than the 2035 combustion-concept date alone suggests. CAPEX multiplier set to 1.31x conventional CAPEX: a detailed EU industry study sizes a hydrogen fuel-cell/turbine hybrid 165-passenger short-range aircraft at exactly this ratio - an exact seat-count match for this row (replaces an earlier 1.6x placeholder, then a 1.13x general Hoelzen-2021 acquisition-cost figure). HC and CO set to exactly 0: hydrogen combustion contains no carbon, so hydrocarbon and carbon-monoxide emissions are physically zero, not an estimate. NOx and smoke number are unchanged - no real hydrogen-turbofan EDB entry exists to source them from; remain a documented gap. lifetime_years set to the evidence-based recommended value: 25 years (A15-A16 hydrogen combustion rule: use host airframe lifetime (narrow-body-class aircraft, 25yr) - hydrogen propulsion itself has no observed commercial fleet lifetime). Was 24 years."
e_kerosene_short,short,kerosene,e_kerosene,ptl,1,0.5,25,0.08,43800000,0.06,0.12,0.34,320,850000,5500,189,0,0,79000,41413,0.2636,0.0148,4.43,46.88,45.77,10.03,power_to_liquid,2028,C,"CAPEX set to exactly 1.00x kerosene_short (airframe/engine-identical), per newly supplied evidence: 'existing turboprop/turbofan using certified drop-in PtL e-kerosene, 1.00x ordinary aircraft CAPEX, conditional on the fuel meeting the applicable drop-in specification' - NATM's e_kerosene_* rows already assume a certified drop-in-spec PtL fuel. Any real cost premium for e-kerosene is a fuel-price (opex), not an airframe (capex), effect. Emission factors (HC/CO/NOx/smoke) replaced with real ICAO/EASA EDB certification data (Gaseous Emissions and Smoke sheet, 'Characteristic' columns), fleet-composition-weighted across this segment's real engine mix. primary_energy_emission_factor corrected to a real EU-ETS-derived value: 0.264 kg CO2/kWh (3.16 t CO2/t Jet A1 fuel, EU ETS 2024+ standard factor, divided by Jet A1's real net calorific value 43.15 MJ/kg = 11.986 kWh/kg) - was 0.890, ~3.4x too high, cross-validated against the scenario file's own kerosene/hydrogen eur_per_kwh prices which are consistent with this same raw-fuel-LHV-energy kWh convention. This feeds the real carbon/ETS cost charged in annual_operation_metrics, shared by both legacy_weighted_utility and ambiguity_aware_utility decision logics. lifetime_years set to the evidence-based recommended value: 25 years (narrow-body passenger aircraft, 25-30yr evidence range). Was 24 years."
e_kerosene_medium,medium,kerosene,e_kerosene,ptl,1,0.5,25,0.08,42800000,0.06,0.12,0.29,305,1160000,7000,220,12,0,93500,50000,0.2636,0.0148,4.19,45.83,45.47,9.33,power_to_liquid,2028,C,"CAPEX set to exactly 1.00x kerosene_medium (airframe/engine-identical), per newly supplied evidence: 'existing turboprop/turbofan using certified drop-in PtL e-kerosene, 1.00x ordinary aircraft CAPEX, conditional on the fuel meeting the applicable drop-in specification' - NATM's e_kerosene_* rows already assume a certified drop-in-spec PtL fuel. Any real cost premium for e-kerosene is a fuel-price (opex), not an airframe (capex), effect. Emission factors (HC/CO/NOx/smoke) replaced with real ICAO/EASA EDB certification data (Gaseous Emissions and Smoke sheet, 'Characteristic' columns), fleet-composition-weighted across this segment's real engine mix. primary_energy_emission_factor corrected to a real EU-ETS-derived value: 0.264 kg CO2/kWh (3.16 t CO2/t Jet A1 fuel, EU ETS 2024+ standard factor, divided by Jet A1's real net calorific value 43.15 MJ/kg = 11.986 kWh/kg) - was 0.890, ~3.4x too high, cross-validated against the scenario file's own kerosene/hydrogen eur_per_kwh prices which are consistent with this same raw-fuel-LHV-energy kWh convention. This feeds the real carbon/ETS cost charged in annual_operation_metrics, shared by both legacy_weighted_utility and ambiguity_aware_utility decision logics. lifetime_years set to the evidence-based recommended value: 25 years (narrow/wide-body passenger aircraft, 25-30yr evidence range). (unchanged)"
