technology_name,segment,primary_energy_carrier,secondary_energy_carrier,saf_pathway,drop_in_fuel,maximum_secondary_energy_share,lifetime_years,payback_interest_rate,capex_eur,maintenance_cost_share,depreciation_cost_share,kilometer_per_kwh,trip_days_per_year,fuel_capacity_kwh,trip_length_km,economy_seats,business_seats,first_class_seats,mtow,oew,primary_energy_emission_factor,secondary_energy_emission_factor,hydrocarbon_factor,carbon_monoxide_factor,nitrogen_oxide_factor,smoke_number_factor,payload_capacity_kg,technology_family,service_entry_year,minimum_airport_class,technology_notes,gross_tonnage,net_tonnage_share,max_tanker_size_tonnes,reported_emission_factor,carbondioxide_factor,sulphur_factor,minimum_port_class
marine_diesel_regional,regional,marine_diesel,none,none,0,0.0,25,0.08,10801906,0.015,0.0669,0.11,280,980000,1800,0,0,0,0,0,0.73,0.0,320,270,0.052,0.0036,9500000,conventional,2010,,"Current regional cargo vessel benchmark CAPEX/maintenance/depreciation replaced with real data from Parameter_Technology_Costs.xlsx (id_technology=Single MDO), fleet-composition-weighted across this segment's real vessel types (General Cargo Ship and Heavy Load Carrier proxied via the Oil Products Tanker cost curve - no direct real entry exists for them). lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.68,0.019621,0.0238625,B
biofuel_regional,regional,marine_diesel,biofuel,fame,1,0.45,25,0.08,10801906,0.015,0.0669,0.11,280,980000,1800,0,0,0,0,0,0.73,0.2,210,185,0.039,0.0022,9500000,drop_in_biofuel,2025,,"Regional cargo vessel with drop-in biofuel compatibility CAPEX set to EXACTLY marine_diesel's real value (zero premium): 'approved conventional diesel engine + HVO/approved FAME blend/FT renewable diesel = negligible or zero additional propulsion CAPEX' - real evidence replacing an earlier ~7.7% premium that had no basis. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.42,0.01014839,0.009563,B
ammonia_regional,regional,ammonia,none,none,0,0.0,25,0.07,12530211,0.015,0.0669,0.14,275,860000,1650,0,0,0,0,0,0.1,0.0,55,32,0.01,0.00036,8200000,ammonia,2030,,"Regional ammonia-fueled cargo vessel concept CAPEX = real marine_diesel_regional capex x 1.16 (ammonia dual-fuel newbuild, +16% vs conventional newbuild, 15,000 TEU containership evidence, 2022; cross-checked against a general 2025 estimate of +15-20%, which comfortably brackets this figure). No plain ammonia-ICE entry exists in Parameter_Technology_Costs.xlsx (only a fuel-cell variant does). lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 26 years.",16500,0.6,0,0.08,0.000135625,0.000878,A
marine_diesel_deepsea,deepsea,marine_diesel,none,none,0,0.0,25,0.08,63000000,0.015,0.08,0.08,295,3100000,9600,0,0,0,0,0,0.73,0.0,335,282,0.064,0.0048,42000000,conventional,2011,,"Current deep-sea cargo vessel benchmark CAPEX/maintenance/depreciation replaced with real data from Parameter_Technology_Costs.xlsx (id_technology=Single MDO), fleet-composition-weighted across this segment's real vessel types (General Cargo Ship and Heavy Load Carrier proxied via the Oil Products Tanker cost curve - no direct real entry exists for them). lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 30 years.",76000,0.68,0,0.69,0.026899792,0.02865,C
biofuel_deepsea,deepsea,marine_diesel,biofuel,fame,1,0.45,25,0.08,63000000,0.015,0.08,0.08,295,3100000,9600,0,0,0,0,0,0.73,0.2,220,190,0.041,0.0031,42000000,drop_in_biofuel,2025,,"Deep-sea cargo vessel with drop-in biofuel compatibility CAPEX set to EXACTLY marine_diesel's real value (zero premium): 'approved conventional diesel engine + HVO/approved FAME blend/FT renewable diesel = negligible or zero additional propulsion CAPEX' - real evidence replacing an earlier ~7.7% premium that had no basis. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 30 years.",76000,0.68,0,0.43,0.01014839,0.009563,C
ammonia_deepsea,deepsea,ammonia,none,none,0,0.0,25,0.07,73080000,0.015,0.08,0.1,288,2500000,8200,0,0,0,0,0,0.1,0.0,60,36,0.012,0.0004,36000000,ammonia,2031,,"Deep-sea ammonia-fueled cargo vessel concept CAPEX = real marine_diesel_deepsea capex x 1.16 (ammonia dual-fuel newbuild, +16% vs conventional newbuild, 15,000 TEU containership evidence, 2022; cross-checked against a general 2025 estimate of +15-20%, which comfortably brackets this figure). No plain ammonia-ICE entry exists in Parameter_Technology_Costs.xlsx (only a fuel-cell variant does). lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 27 years.",68000,0.66,0,0.09,0.000135625,0.000878,B
lng_regional,regional,lng,marine_diesel,none,0,0.05,25,0.08,10962279,0.015,0.0669,0.11,280,980000,1800,0,0,0,0,0,0.55,0.73,150,120,0.02,0.001,9500000,lng_dual_fuel,2015,,"Represents P05/P06/P07 (LNG dual-fuel, low-speed/medium-speed/diesel-electric) - real, commercially mature since ~2015. MGO/VLSFO pilot or backup fuel (5% share). Capex = conventional baseline + 25% (MDPI comparative review of alternative marine fuels, mid-size container reference vessel). CAPEX/maintenance/depreciation replaced with real data from Parameter_Technology_Costs.xlsx (id_technology=Dual MDO LNG), same real fleet-composition weighting as marine_diesel. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.5,0.0148,0.0001,B
lng_deepsea,deepsea,lng,marine_diesel,none,0,0.05,25,0.08,69000000,0.015,0.08,0.08,295,3100000,9600,0,0,0,0,0,0.55,0.73,150,120,0.02,0.001,42000000,lng_dual_fuel,2015,,"Represents P05/P06/P07 (LNG dual-fuel, low-speed/medium-speed/diesel-electric) - real, commercially mature since ~2015. MGO/VLSFO pilot or backup fuel (5% share). Capex = conventional baseline + 25% (MDPI comparative review of alternative marine fuels, mid-size container reference vessel). CAPEX/maintenance/depreciation replaced with real data from Parameter_Technology_Costs.xlsx (id_technology=Dual MDO LNG), same real fleet-composition weighting as marine_diesel. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 30 years.",76000,0.68,0,0.5,0.0148,0.0001,C
methanol_regional,regional,methanol,marine_diesel,e-methanol,0,0.05,25,0.08,11990116,0.015,0.0669,0.11,280,980000,1800,0,0,0,0,0,0.3,0.73,40,35,0.015,0.0002,9500000,methanol_dual_fuel,2023,,"Represents P08/P09/P10 (methanol dual-fuel, low-speed/medium-speed/diesel-electric) - real, commercial since ~2023 (A.P. Moller-Maersk flagship program). MGO/VLSFO/biofuel pilot (5% share). Emission factor reflects fossil methanol; bio-/e-methanol reduce this further via secondary_energy_carrier. CAPEX now set to real marine_diesel_regional capex x 1.11 (methanol dual-fuel newbuild, +11% vs conventional newbuild, 15,000 TEU containership evidence, 2022) - supersedes an earlier +10% estimate (MDPI comparative review), which the new figure corroborates closely. No plain methanol-ICE entry exists in Parameter_Technology_Costs.xlsx (only a fuel-cell variant does), so this percentage-premium formulation is used instead of an ID-joined lookup. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.28,0.008,1e-05,B
methanol_deepsea,deepsea,methanol,marine_diesel,e-methanol,0,0.05,25,0.08,69930000,0.015,0.08,0.08,295,3100000,9600,0,0,0,0,0,0.3,0.73,40,35,0.015,0.0002,42000000,methanol_dual_fuel,2023,,"Represents P08/P09/P10 (methanol dual-fuel, low-speed/medium-speed/diesel-electric) - real, commercial since ~2023 (A.P. Moller-Maersk flagship program). MGO/VLSFO/biofuel pilot (5% share). Emission factor reflects fossil methanol; bio-/e-methanol reduce this further via secondary_energy_carrier. CAPEX now set to real marine_diesel_deepsea capex x 1.11 (methanol dual-fuel newbuild, +11% vs conventional newbuild, 15,000 TEU containership evidence, 2022) - supersedes an earlier +10% estimate (MDPI comparative review), which the new figure corroborates closely. No plain methanol-ICE entry exists in Parameter_Technology_Costs.xlsx (only a fuel-cell variant does), so this percentage-premium formulation is used instead of an ID-joined lookup. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 30 years.",76000,0.68,0,0.28,0.008,1e-05,C
